LaneNo,source,target,type,weight,편성당칸수,운행횟수,혼잡지수
1,90_덕정역,89_덕계역,subway,2545,10,589,0.002700551782682513
1,63_남영역,272_용산역,subway,68011,10,589,0.07216786926994907
1,272_용산역,68_노량진역,subway,50462,10,589,0.05354626485568761
1,68_노량진역,84_대방역,subway,22750,10,589,0.024140492359932087
1,84_대방역,210_신길역,subway,37579,10,589,0.03987584889643463
1,210_신길역,260_영등포역,subway,55867,10,589,0.059281621392190155
1,260_영등포역,217_신도림역,subway,125166,10,589,0.13281621392190152
1,217_신도림역,40_구로역,subway,136875,10,589,0.14524087436332767
1,40_구로역,45_구일역,subway,77958,10,589,0.08272283531409168
1,45_구일역,16_개봉역,subway,74706,10,589,0.0792720713073005
1,262_오류동역,265_온수역,subway,57376,10,589,0.060882852292020374
1,265_온수역,253_역곡역,subway,47171,10,589,0.05005411714770798
1,181_서울역,63_남영역,subway,68608,10,589,0.07280135823429541
1,253_역곡역,193_소사역,subway,33068,10,589,0.035089134125636676
1,150_부천역,310_중동역,subway,14427,10,589,0.015308786078098472
1,310_중동역,196_송내역,subway,10681,10,589,0.011333828522920204
1,40_구로역,4_가산디지털단지역,subway,56903,10,589,0.06038094227504245
1,4_가산디지털단지역,97_독산역,subway,47120,10,589,0.05
1,97_독산역,52_금천구청역,subway,37884,10,589,0.040199490662139216
1,52_금천구청역,184_석수역,subway,32481,10,589,0.03446625636672326
1,184_석수역,32_관악역,subway,29301,10,589,0.031091893039049235
1,32_관악역,236_안양역,subway,26645,10,589,0.02827355687606112
1,236_안양역,126_명학역,subway,19993,10,589,0.021214983022071306
1,126_명학역,51_금정역,subway,17852,10,589,0.018943123938879456
1,51_금정역,49_군포역,subway,2001,10,589,0.00212330220713073
1,193_소사역,150_부천역,subway,27555,10,589,0.029239176570458405
1,208_시청역,181_서울역,subway,183716,10,589,0.19494482173174874
1,16_개봉역,262_오류동역,subway,63238,10,589,0.06710314091680815
1,304_종로3가역,303_종각역,subway,88682,10,589,0.09410229202037351
1,89_덕계역,245_양주역,subway,5110,10,589,0.0054223259762308995
1,303_종각역,208_시청역,subway,104822,10,589,0.11122877758913413
1,72_녹양역,2_가능역,subway,11950,10,589,0.012680390492359932
1,2_가능역,284_의정부역,subway,15353,10,589,0.016291383701188454
1,284_의정부역,354_회룡역,subway,25084,10,589,0.026617147707979627
1,354_회룡역,120_망월사역,subway,33699,10,589,0.035758701188455005
1,120_망월사역,93_도봉산역,subway,38067,10,589,0.04039367572156197
1,93_도봉산역,94_도봉역,subway,46917,10,589,0.049784592529711374
1,94_도봉역,139_방학역,subway,50349,10,589,0.05342635823429542
1,139_방학역,317_창동역,subway,55898,10,589,0.059314516129032255
1,317_창동역,73_녹천역,subway,43399,10,589,0.04605157045840407
1,73_녹천역,276_월계역,subway,43672,10,589,0.04634125636672326
1,245_양주역,72_녹양역,subway,9618,10,589,0.01020585738539898
1,35_광운대역,183_석계역,subway,21084,10,589,0.022372665534804752
1,276_월계역,35_광운대역,subway,44514,10,589,0.04723471986417657
1,99_동대문역,305_종로5가역,subway,89762,10,589,0.09524830220713074
1,102_동묘앞역,99_동대문역,subway,89287,10,589,0.09474426994906622
1,223_신설동역,102_동묘앞역,subway,89121,10,589,0.09456812393887945
1,302_제기동역,223_신설동역,subway,46012,10,589,0.04882427843803056
1,305_종로5가역,304_종로3가역,subway,97833,10,589,0.10381260611205433
1,353_회기역,325_청량리역,subway,106069,10,589,0.11255199490662139
1,268_외대앞역,353_회기역,subway,45730,10,589,0.04852504244482173
1,225_신이문역,268_외대앞역,subway,45244,10,589,0.04800933786078099
1,183_석계역,225_신이문역,subway,45569,10,589,0.04835420203735144
1,325_청량리역,302_제기동역,subway,44523,10,589,0.04724426994906621
2,217_신도림역,92_도림천역,subway,46996,10,528,0.05562973484848485
2,346_홍대입구역,228_신촌역,subway,147291,10,528,0.17435014204545454
2,92_도림천역,246_양천구청역,subway,46512,10,528,0.05505681818181818
2,246_양천구청역,226_신정네거리역,subway,41773,10,528,0.04944720643939394
2,226_신정네거리역,57_까치산역,subway,36221,10,528,0.042875236742424244
2,217_신도림역,131_문래역,subway,219612,10,528,0.25995738636363636
2,131_문래역,258_영등포구청역,subway,217176,10,528,0.25707386363636364
2,258_영등포구청역,79_당산역,subway,218834,10,528,0.25903645833333333
2,79_당산역,342_합정역,subway,212184,10,528,0.2511647727272727
2,342_합정역,346_홍대입구역,subway,235702,10,528,0.2790033143939394
2,228_신촌역,285_이대역,subway,31254,10,528,0.036995738636363636
2,279_을지로3가역,280_을지로4가역,subway,33617,10,528,0.03979285037878788
2,233_아현역,329_충정로역,subway,20141,10,528,0.023841145833333334
2,329_충정로역,208_시청역,subway,22407,10,528,0.0265234375
2,208_시청역,281_을지로입구역,subway,60716,10,528,0.07187026515151515
2,281_을지로입구역,279_을지로3가역,subway,52087,10,528,0.061656013257575755
2,280_을지로4가역,100_동대문역사문화공원역,subway,65388,10,528,0.07740056818181819
2,100_동대문역사문화공원역,214_신당역,subway,91218,10,528,0.10797585227272727
2,214_신당역,171_상왕십리역,subway,78105,10,528,0.09245383522727273
2,171_상왕십리역,267_왕십리역,subway,80416,10,528,0.09518939393939393
2,267_왕십리역,340_한양대역,subway,33948,10,528,0.04018465909090909
