LaneNo,source,target,type,weight
3,244_양재역,121_매봉역,subway,0.14673065110565112
3,121_매봉역,91_도곡역,subway,0.14470208845208846
3,91_도곡역,86_대치역,subway,0.05917997542997543
3,86_대치역,335_학여울역,subway,0.028654791154791154
3,290_일원역,203_수서역,subway,0.009838759213759214
3,203_수서역,3_가락시장역,subway,0.1013482800982801
3,3_가락시장역,24_경찰병원역,subway,0.04931203931203931
3,24_경찰병원역,261_오금역,subway,0.04194871007371007
3,328_충무로역,101_동대입구역,subway,0.027721130221130222
3,61_남부터미널역,244_양재역,subway,0.07198863636363637
3,279_을지로3가역,328_충무로역,subway,0.08310964373464373
3,85_대청역,290_일원역,subway,0.017283476658476658
3,234_안국역,304_종로3가역,subway,0.08744471744471745
3,87_대화역,307_주엽역,subway,0.012334152334152334
3,304_종로3가역,279_을지로3가역,subway,0.08010135135135135
3,300_정발산역,112_마두역,subway,0.02456541769041769
3,112_마두역,141_백석역,subway,0.030188882063882063
3,141_백석역,80_대곡역,subway,0.03721744471744472
3,80_대곡역,352_화정역,subway,0.04244625307125307
3,352_화정역,274_원당역,subway,0.054992321867321864
3,274_원당역,275_원흥역,subway,0.021678439803439805
3,275_원흥역,163_삼송역,subway,0.016623157248157248
3,307_주엽역,300_정발산역,subway,0.019921683046683045
3,316_지축역,46_구파발역,subway,0.0257754914004914
3,163_삼송역,316_지축역,subway,0.03136824324324324
3,95_독립문역,23_경복궁역,subway,0.06649570024570024
3,130_무악재역,95_독립문역,subway,0.06355651105651106
3,347_홍제역,130_무악재역,subway,0.058799140049140046
3,23_경복궁역,234_안국역,subway,0.07993396805896806
3,154_불광역,70_녹번역,subway,0.07005681818181818
3,256_연신내역,154_불광역,subway,0.03934428746928747
3,46_구파발역,256_연신내역,subway,0.022028562653562653
3,70_녹번역,347_홍제역,subway,0.04256142506142506
4,64_남태령역,188_선바위역,subway,0.07008797268907563
4,224_신용산역,287_이촌역,subway,0.022824317226890756
4,287_이촌역,103_동작역,subway,0.12722820378151262
4,103_동작역,326_총신대입구역,subway,0.1168093487394958
4,326_총신대입구역,156_사당역,subway,0.10982405462184874
4,156_사당역,64_남태령역,subway,0.07086003151260505
4,188_선바위역,22_경마공원역,subway,0.06591123949579832
4,289_인덕원역,332_평촌역,subway,0.04079175420168067
4,81_대공원역,31_과천역,subway,0.06904543067226891
4,31_과천역,301_정부과천청사역,subway,0.06429753151260505
4,301_정부과천청사역,289_인덕원역,subway,0.05692226890756302
4,332_평촌역,143_범계역,subway,0.033216911764705884
4,143_범계역,51_금정역,subway,0.02236344537815126
4,51_금정역,158_산본역,subway,0.009048056722689076
4,158_산본역,201_수리산역,subway,0.0013773634453781512
4,22_경마공원역,81_대공원역,subway,0.06545824579831933
4,206_숙대입구역,160_삼각지역,subway,0.027524947478991597
4,160_삼각지역,224_신용산역,subway,0.02351890756302521
4,355_회현역,181_서울역,subway,0.11976628151260504
4,181_서울역,206_숙대입구역,subway,0.03153492647058823
4,78_당고개역,167_상계역,subway,0.012799369747899159
4,167_상계역,69_노원역,subway,0.03715992647058824
4,317_창동역,231_쌍문역,subway,0.14754595588235295
4,231_쌍문역,204_수유역,subway,0.16962841386554622
4,204_수유역,134_미아역,subway,0.049154411764705884
4,134_미아역,133_미아사거리역,subway,0.05181066176470588
4,133_미아사거리역,55_길음역,subway,0.16275341386554623
4,69_노원역,317_창동역,subway,0.10462972689075631
4,192_성신여대입구역,338_한성대입구역,subway,0.07495404411764706
4,338_한성대입구역,345_혜화역,subway,0.0731171218487395
4,345_혜화역,99_동대문역,subway,0.06887736344537815
4,99_동대문역,100_동대문역사문화공원역,subway,0.05016281512605042
4,100_동대문역사문화공원역,328_충무로역,subway,0.11825236344537815
4,328_충무로역,124_명동역,subway,0.19696953781512605
4,55_길음역,192_성신여대입구역,subway,0.15838891806722688
4,124_명동역,355_회현역,subway,0.12841386554621848
5,33_광나루역,320_천호역,subway,0.15624817464953272
5,232_아차산역,33_광나루역,subway,0.1602274386682243
5,298_장한평역,48_군자역,subway,0.13779935747663552
5,77_답십리역,298_장한평역,subway,0.13971049941588784
5,343_행당역,267_왕십리역,subway,0.020024094626168224
5,267_왕십리역,114_마장역,subway,0.1248211156542056
5,209_신금호역,343_행당역,subway,0.015783805490654206
5,323_청구역,209_신금호역,subway,0.01608316296728972
5,320_천호역,12_강동역,subway,0.13308265186915888
5,114_마장역,77_답십리역,subway,0.12142048773364486
5,12_강동역,104_둔촌동역,subway,0.06182827102803738
5,50_굽은다리역,125_명일역,subway,0.05261755257009346
5,266_올림픽공원역,138_방이역,subway,0.04524861273364486
5,138_방이역,261_오금역,subway,0.038618939836448596
5,261_오금역,15_개롱역,subway,0.042997955607476636
5,15_개롱역,20_거여역,subway,0.03151285046728972
5,20_거여역,115_마천역,subway,0.012991019275700934
5,12_강동역,54_길동역,subway,0.07520991530373831
5,54_길동역,50_굽은다리역,subway,0.06555381133177571
5,125_명일역,25_고덕역,subway,0.04009382301401869
5,25_고덕역,173_상일동역,subway,0.02413478387850467
5,100_동대문역사문화공원역,323_청구역,subway,0.022995765186915887
5,104_둔촌동역,266_올림픽공원역,subway,0.05782892815420561
5,280_을지로4가역,100_동대문역사문화공원역,subway,0.11935601635514019
5,48_군자역,232_아차산역,subway,0.16921546436915888
5,36_광화문역,304_종로3가역,subway,0.07847911799065421
5,304_종로3가역,280_을지로4가역,subway,0.06068377628504673
5,140_방화역,18_개화산역,subway,0.012441588785046729
5,18_개화산역,56_김포공항역,subway,0.022648948598130842
5,56_김포공항역,197_송정역,subway,0.04447283878504673
5,111_마곡역,136_발산역,subway,0.04615946261682243
5,136_발산역,273_우장산역,subway,0.05339332651869159
5,273_우장산역,349_화곡역,subway,0.05664427570093458
5,349_화곡역,57_까치산역,subway,0.08901321553738317
5,57_까치산역,227_신정역,subway,0.06476343457943926
5,227_신정역,128_목동역,subway,0.07252665011682242
5,128_목동역,263_오목교역,subway,0.0486857476635514
5,263_오목교역,248_양평역,subway,0.05272707359813084
5,197_송정역,111_마곡역,subway,0.04440165011682243
5,258_영등포구청역,259_영등포시장역,subway,0.035059506425233644
5,177_서대문역,36_광화문역,subway,0.09095356308411215
5,248_양평역,258_영등포구청역,subway,0.0615581191588785
5,329_충정로역,177_서대문역,subway,0.06297276577102803
5,28_공덕역,240_애오개역,subway,0.05846415011682243
5,117_마포역,28_공덕역,subway,0.09362222546728972
5,240_애오개역,329_충정로역,subway,0.051462105724299066
5,252_여의도역,251_여의나루역,subway,0.10586850175233645
5,210_신길역,252_여의도역,subway,0.1403913551401869
5,259_영등포시장역,210_신길역,subway,0.0337178738317757
5,251_여의나루역,117_마포역,subway,0.11147597838785046
6,336_한강진역,142_버티고개역,subway,0.01786534926470588
6,102_동묘앞역,318_창신역,subway,0.032042738970588236
6,142_버티고개역,241_약수역,subway,0.018667279411764708
6,241_약수역,323_청구역,subway,0.06686351102941177
6,323_청구역,214_신당역,subway,0.026484375
6,288_이태원역,336_한강진역,subway,0.030130974264705884
6,214_신당역,102_동묘앞역,subway,0.07016544117647058
6,318_창신역,145_보문역,subway,0.03159007352941177
6,172_상월곡역,98_돌곶이역,subway,0.04217371323529412
6,235_안암역,26_고려대역,subway,0.05235983455882353
6,26_고려대역,277_월곡역,subway,0.05123391544117647
6,98_돌곶이역,183_석계역,subway,0.03654871323529412
6,183_석계역,330_태릉입구역,subway,0.12010569852941176
6,330_태릉입구역,350_화랑대역,subway,0.03786534926470588
6,71_녹사평역,288_이태원역,subway,0.04029641544117647
6,350_화랑대역,149_봉화산역,subway,0.0196484375
6,145_보문역,235_안암역,subway,0.058596047794117645
6,160_삼각지역,71_녹사평역,subway,0.04607306985294118
6,277_월곡역,172_상월곡역,subway,0.020032169117647058
6,28_공덕역,356_효창공원앞역,subway,0.12144301470588235
6,356_효창공원앞역,160_삼각지역,subway,0.03944393382352941
6,149_봉화산역,211_신내역,subway,0.013832720588235294
6,283_응암역,255_역촌역,subway,0.045503216911764705
6,255_역촌역,154_불광역,subway,0.03984375
6,154_불광역,96_독바위역,subway,0.006357996323529412
6,256_연신내역,43_구산역,subway,0.04468290441176471
6,43_구산역,283_응암역,subway,0.057456341911764706
6,283_응암역,174_새절역,subway,0.10829044117647059
6,174_새절역,315_증산역,subway,0.1284811580882353
6,96_독바위역,256_연신내역,subway,0.004894301470588235
6,107_디지털미디어시티역,278_월드컵경기장역,subway,0.03294806985294118
6,278_월드컵경기장역,116_마포구청역,subway,0.02570542279411765
6,116_마포구청역,119_망원역,subway,0.04669577205882353
6,119_망원역,342_합정역,subway,0.06600413602941177
6,342_합정역,170_상수역,subway,0.035215992647058825
6,170_상수역,37_광흥창역,subway,0.027242647058823528
6,37_광흥창역,88_대흥역,subway,0.026838235294117645
6,315_증산역,107_디지털미디어시티역,subway,0.1425827205882353
6,88_대흥역,28_공덕역,subway,0.039223345588235294
7,295_장승배기역,215_신대방삼거리역,subway,0.03668296755725191
7,168_상도역,295_장승배기역,subway,0.034365060432569976
7,207_숭실대입구역,168_상도역,subway,0.03985170165394402
7,27_고속터미널역,66_내방역,subway,0.06398298346055979
7,286_이수역,62_남성역,subway,0.06384780534351145
7,66_내방역,286_이수역,subway,0.06258945610687022
7,215_신대방삼거리역,144_보라매역,subway,0.04209406806615776
7,62_남성역,207_숭실대입구역,subway,0.0529301844783715
7,144_보라매역,229_신풍역,subway,0.0504293893129771
7,58_까치울역,151_부천종합운동장역,subway,0.01373051844783715
7,82_대림역,60_남구로역,subway,0.10783834287531807
7,60_남구로역,4_가산디지털단지역,subway,0.10376709605597964
7,4_가산디지털단지역,321_철산역,subway,0.09303633905852417
7,321_철산역,34_광명사거리역,subway,0.06735647264631044
7,34_광명사거리역,319_천왕역,subway,0.03920364185750636
7,319_천왕역,265_온수역,subway,0.021256758905852418
7,265_온수역,58_까치울역,subway,0.021374045801526718
7,135_반포역,27_고속터미널역,subway,0.050011927480916034
7,151_부천종합운동장역,327_춘의역,subway,0.009178196564885496
7,229_신풍역,82_대림역,subway,0.0632375159033079
7,74_논현역,135_반포역,subway,0.14923067748091604
7,48_군자역,249_어린이대공원역,subway,0.14881122773536895
7,9_강남구청역,334_학동역,subway,0.12896588740458015
7,296_장암역,93_도봉산역,subway,0.005265982824427481
7,93_도봉산역,200_수락산역,subway,0.015348680025445293
7,200_수락산역,113_마들역,subway,0.03756957697201018
7,113_마들역,69_노원역,subway,0.06006679389312977
7,69_노원역,308_중계역,subway,0.03795324427480916
7,308_중계역,333_하계역,subway,0.03874244592875318
7,334_학동역,74_논현역,subway,0.12016539440203562
7,29_공릉역,330_태릉입구역,subway,0.06426327926208651
7,330_태릉입구역,122_먹골역,subway,0.03965489821882952
7,122_먹골역,313_중화역,subway,0.04515147900763359
7,333_하계역,29_공릉역,subway,0.05301168893129771
7,169_상봉역,123_면목역,subway,0.1275405534351145
7,313_중화역,169_상봉역,subway,0.05786020992366412
7,109_뚝섬유원지역,324_청담역,subway,0.15094425890585242
7,21_건대입구역,109_뚝섬유원지역,subway,0.14775166984732824
7,249_어린이대공원역,21_건대입구역,subway,0.14923664122137403
7,324_청담역,9_강남구청역,subway,0.22868559160305343
7,271_용마산역,309_중곡역,subway,0.1239483937659033
7,155_사가정역,271_용마산역,subway,0.12018924936386768
7,123_면목역,155_사가정역,subway,0.11832458651399491
7,309_중곡역,48_군자역,subway,0.13568901081424936
8,205_수진역,127_모란역,subway,0.02024115296803653
8,230_신흥역,205_수진역,subway,0.010883989726027398
8,76_단대오거리역,230_신흥역,subway,0.023223458904109588
8,65_남한산성입구역,76_단대오거리역,subway,0.05196204337899543
8,159_산성역,65_남한산성입구역,subway,0.08098601598173516
