LaneNo,source,target,type,weight
3,244_양재역,121_매봉역,subway,0.1467306511056511
3,121_매봉역,91_도곡역,subway,0.1447020884520884
3,91_도곡역,86_대치역,subway,0.0591799754299754
3,86_대치역,335_학여울역,subway,0.0286547911547911
3,290_일원역,203_수서역,subway,0.0098387592137592
3,203_수서역,3_가락시장역,subway,0.1013482800982801
3,3_가락시장역,24_경찰병원역,subway,0.0493120393120393
3,24_경찰병원역,261_오금역,subway,0.04194871007371
3,328_충무로역,101_동대입구역,subway,0.0277211302211302
3,61_남부터미널역,244_양재역,subway,0.0719886363636363
3,279_을지로3가역,328_충무로역,subway,0.0831096437346437
3,85_대청역,290_일원역,subway,0.0172834766584766
3,234_안국역,304_종로3가역,subway,0.0874447174447174
3,87_대화역,307_주엽역,subway,0.0123341523341523
3,304_종로3가역,279_을지로3가역,subway,0.0801013513513513
3,300_정발산역,112_마두역,subway,0.0245654176904176
3,112_마두역,141_백석역,subway,0.030188882063882
3,141_백석역,80_대곡역,subway,0.0372174447174447
3,80_대곡역,352_화정역,subway,0.042446253071253
3,352_화정역,274_원당역,subway,0.0549923218673218
3,274_원당역,275_원흥역,subway,0.0216784398034398
3,275_원흥역,163_삼송역,subway,0.0166231572481572
3,307_주엽역,300_정발산역,subway,0.019921683046683
3,316_지축역,46_구파발역,subway,0.0257754914004914
3,163_삼송역,316_지축역,subway,0.0313682432432432
3,95_독립문역,23_경복궁역,subway,0.0664957002457002
3,130_무악재역,95_독립문역,subway,0.063556511056511
3,347_홍제역,130_무악재역,subway,0.05879914004914
3,23_경복궁역,234_안국역,subway,0.079933968058968
3,154_불광역,70_녹번역,subway,0.0700568181818181
3,256_연신내역,154_불광역,subway,0.0393442874692874
3,46_구파발역,256_연신내역,subway,0.0220285626535626
3,70_녹번역,347_홍제역,subway,0.042561425061425
4,64_남태령역,188_선바위역,subway,0.0700879726890756
4,224_신용산역,287_이촌역,subway,0.0228243172268907
4,287_이촌역,103_동작역,subway,0.1272282037815126
4,103_동작역,326_총신대입구역,subway,0.1168093487394958
4,326_총신대입구역,156_사당역,subway,0.1098240546218487
4,156_사당역,64_남태령역,subway,0.070860031512605
4,188_선바위역,22_경마공원역,subway,0.0659112394957983
4,289_인덕원역,332_평촌역,subway,0.0407917542016806
4,81_대공원역,31_과천역,subway,0.0690454306722689
4,31_과천역,301_정부과천청사역,subway,0.064297531512605
4,301_정부과천청사역,289_인덕원역,subway,0.056922268907563
4,332_평촌역,143_범계역,subway,0.0332169117647058
4,143_범계역,51_금정역,subway,0.0223634453781512
4,51_금정역,158_산본역,subway,0.009048056722689
4,158_산본역,201_수리산역,subway,0.0013773634453781
4,22_경마공원역,81_대공원역,subway,0.0654582457983193
4,206_숙대입구역,160_삼각지역,subway,0.0275249474789915
4,160_삼각지역,224_신용산역,subway,0.0235189075630252
4,355_회현역,181_서울역,subway,0.119766281512605
4,181_서울역,206_숙대입구역,subway,0.0315349264705882
4,78_당고개역,167_상계역,subway,0.0127993697478991
4,167_상계역,69_노원역,subway,0.0371599264705882
4,317_창동역,231_쌍문역,subway,0.1475459558823529
4,231_쌍문역,204_수유역,subway,0.1696284138655462
4,204_수유역,134_미아역,subway,0.0491544117647058
4,134_미아역,133_미아사거리역,subway,0.0518106617647058
4,133_미아사거리역,55_길음역,subway,0.1627534138655462
4,69_노원역,317_창동역,subway,0.1046297268907563
4,192_성신여대입구역,338_한성대입구역,subway,0.074954044117647
4,338_한성대입구역,345_혜화역,subway,0.0731171218487395
4,345_혜화역,99_동대문역,subway,0.0688773634453781
4,99_동대문역,100_동대문역사문화공원역,subway,0.0501628151260504
4,100_동대문역사문화공원역,328_충무로역,subway,0.1182523634453781
4,328_충무로역,124_명동역,subway,0.196969537815126
4,55_길음역,192_성신여대입구역,subway,0.1583889180672268
4,124_명동역,355_회현역,subway,0.1284138655462184
5,33_광나루역,320_천호역,subway,0.1562481746495327
5,232_아차산역,33_광나루역,subway,0.1602274386682243
5,298_장한평역,48_군자역,subway,0.1377993574766355
5,77_답십리역,298_장한평역,subway,0.1397104994158878
5,343_행당역,267_왕십리역,subway,0.0200240946261682
5,267_왕십리역,114_마장역,subway,0.1248211156542056
5,209_신금호역,343_행당역,subway,0.0157838054906542
5,323_청구역,209_신금호역,subway,0.0160831629672897
5,320_천호역,12_강동역,subway,0.1330826518691588
5,114_마장역,77_답십리역,subway,0.1214204877336448
5,12_강동역,104_둔촌동역,subway,0.0618282710280373
5,50_굽은다리역,125_명일역,subway,0.0526175525700934
5,266_올림픽공원역,138_방이역,subway,0.0452486127336448
5,138_방이역,261_오금역,subway,0.0386189398364485
5,261_오금역,15_개롱역,subway,0.0429979556074766
5,15_개롱역,20_거여역,subway,0.0315128504672897
5,20_거여역,115_마천역,subway,0.0129910192757009
5,12_강동역,54_길동역,subway,0.0752099153037383
5,54_길동역,50_굽은다리역,subway,0.0655538113317757
5,125_명일역,25_고덕역,subway,0.0400938230140186
5,25_고덕역,173_상일동역,subway,0.0241347838785046
5,100_동대문역사문화공원역,323_청구역,subway,0.0229957651869158
5,104_둔촌동역,266_올림픽공원역,subway,0.0578289281542056
5,280_을지로4가역,100_동대문역사문화공원역,subway,0.1193560163551401
5,48_군자역,232_아차산역,subway,0.1692154643691588
5,36_광화문역,304_종로3가역,subway,0.0784791179906542
5,304_종로3가역,280_을지로4가역,subway,0.0606837762850467
5,140_방화역,18_개화산역,subway,0.0124415887850467
5,18_개화산역,56_김포공항역,subway,0.0226489485981308
5,56_김포공항역,197_송정역,subway,0.0444728387850467
5,111_마곡역,136_발산역,subway,0.0461594626168224
5,136_발산역,273_우장산역,subway,0.0533933265186915
5,273_우장산역,349_화곡역,subway,0.0566442757009345
5,349_화곡역,57_까치산역,subway,0.0890132155373831
5,57_까치산역,227_신정역,subway,0.0647634345794392
5,227_신정역,128_목동역,subway,0.0725266501168224
5,128_목동역,263_오목교역,subway,0.0486857476635514
5,263_오목교역,248_양평역,subway,0.0527270735981308
5,197_송정역,111_마곡역,subway,0.0444016501168224
5,258_영등포구청역,259_영등포시장역,subway,0.0350595064252336
5,177_서대문역,36_광화문역,subway,0.0909535630841121
5,248_양평역,258_영등포구청역,subway,0.0615581191588785
5,329_충정로역,177_서대문역,subway,0.062972765771028
5,28_공덕역,240_애오개역,subway,0.0584641501168224
5,117_마포역,28_공덕역,subway,0.0936222254672897
5,240_애오개역,329_충정로역,subway,0.051462105724299
5,252_여의도역,251_여의나루역,subway,0.1058685017523364
5,210_신길역,252_여의도역,subway,0.1403913551401869
5,259_영등포시장역,210_신길역,subway,0.0337178738317757
5,251_여의나루역,117_마포역,subway,0.1114759783878504
6,336_한강진역,142_버티고개역,subway,0.0178653492647058
6,102_동묘앞역,318_창신역,subway,0.0320427389705882
6,142_버티고개역,241_약수역,subway,0.0186672794117647
6,241_약수역,323_청구역,subway,0.0668635110294117
6,323_청구역,214_신당역,subway,0.026484375
6,288_이태원역,336_한강진역,subway,0.0301309742647058
6,214_신당역,102_동묘앞역,subway,0.0701654411764705
6,318_창신역,145_보문역,subway,0.0315900735294117
