LaneNo,source,target
5,20_거여역,115_마천역
5,12_강동역,54_길동역
5,54_길동역,50_굽은다리역
5,125_명일역,25_고덕역
5,25_고덕역,173_상일동역
5,100_동대문역사문화공원역,323_청구역
5,104_둔촌동역,266_올림픽공원역
5,280_을지로4가역,100_동대문역사문화공원역
5,48_군자역,232_아차산역
5,36_광화문역,304_종로3가역
5,304_종로3가역,280_을지로4가역
5,140_방화역,18_개화산역
5,18_개화산역,56_김포공항역
5,56_김포공항역,197_송정역
5,111_마곡역,136_발산역
5,136_발산역,273_우장산역
5,273_우장산역,349_화곡역
5,349_화곡역,57_까치산역
5,57_까치산역,227_신정역
5,227_신정역,128_목동역
5,128_목동역,263_오목교역
5,263_오목교역,248_양평역
5,197_송정역,111_마곡역
5,258_영등포구청역,259_영등포시장역
5,177_서대문역,36_광화문역
5,248_양평역,258_영등포구청역
5,329_충정로역,177_서대문역
5,28_공덕역,240_애오개역
5,117_마포역,28_공덕역
5,240_애오개역,329_충정로역
5,252_여의도역,251_여의나루역
5,210_신길역,252_여의도역
5,259_영등포시장역,210_신길역
5,251_여의나루역,117_마포역
6,336_한강진역,142_버티고개역
6,102_동묘앞역,318_창신역
6,142_버티고개역,241_약수역
6,241_약수역,323_청구역
6,323_청구역,214_신당역
6,288_이태원역,336_한강진역
6,214_신당역,102_동묘앞역
6,318_창신역,145_보문역
6,172_상월곡역,98_돌곶이역
6,235_안암역,26_고려대역
6,26_고려대역,277_월곡역
6,98_돌곶이역,183_석계역
6,183_석계역,330_태릉입구역
6,330_태릉입구역,350_화랑대역
6,71_녹사평역,288_이태원역
6,350_화랑대역,149_봉화산역
6,145_보문역,235_안암역
6,160_삼각지역,71_녹사평역
6,277_월곡역,172_상월곡역
6,28_공덕역,356_효창공원앞역
6,356_효창공원앞역,160_삼각지역
6,149_봉화산역,211_신내역
6,283_응암역,255_역촌역
6,255_역촌역,154_불광역
6,154_불광역,96_독바위역
6,256_연신내역,43_구산역
6,43_구산역,283_응암역
6,283_응암역,174_새절역
6,174_새절역,315_증산역
6,96_독바위역,256_연신내역
6,107_디지털미디어시티역,278_월드컵경기장역
6,278_월드컵경기장역,116_마포구청역
6,116_마포구청역,119_망원역
6,119_망원역,342_합정역
6,342_합정역,170_상수역
6,170_상수역,37_광흥창역
6,37_광흥창역,88_대흥역
6,315_증산역,107_디지털미디어시티역
6,88_대흥역,28_공덕역
7,295_장승배기역,215_신대방삼거리역
7,168_상도역,295_장승배기역
7,207_숭실대입구역,168_상도역
7,27_고속터미널역,66_내방역
7,286_이수역,62_남성역
7,66_내방역,286_이수역
7,215_신대방삼거리역,144_보라매역
7,62_남성역,207_숭실대입구역
7,144_보라매역,229_신풍역
7,58_까치울역,151_부천종합운동장역
7,82_대림역,60_남구로역
7,60_남구로역,4_가산디지털단지역
7,4_가산디지털단지역,321_철산역
7,321_철산역,34_광명사거리역
7,34_광명사거리역,319_천왕역
7,319_천왕역,265_온수역
7,265_온수역,58_까치울역
7,135_반포역,27_고속터미널역
7,151_부천종합운동장역,327_춘의역
7,229_신풍역,82_대림역
7,74_논현역,135_반포역
7,48_군자역,249_어린이대공원역
7,9_강남구청역,334_학동역
7,296_장암역,93_도봉산역
7,93_도봉산역,200_수락산역
7,200_수락산역,113_마들역
7,113_마들역,69_노원역
7,69_노원역,308_중계역
7,308_중계역,333_하계역
7,334_학동역,74_논현역
7,29_공릉역,330_태릉입구역
7,330_태릉입구역,122_먹골역
7,122_먹골역,313_중화역
7,333_하계역,29_공릉역
7,169_상봉역,123_면목역
7,313_중화역,169_상봉역
7,109_뚝섬유원지역,324_청담역
7,21_건대입구역,109_뚝섬유원지역
7,249_어린이대공원역,21_건대입구역
7,324_청담역,9_강남구청역
7,271_용마산역,309_중곡역
7,155_사가정역,271_용마산역
7,123_면목역,155_사가정역
7,309_중곡역,48_군자역
8,205_수진역,127_모란역
